BOTTLE,20001102WHPSIOJJW
#code : jjward hyd_to_exchange.pl V1.0
#original files copied from HTML directory: 2000.09.25
#original HYD file: a03hy.txt   Fri Oct 27 14:26:11 2000
#original SUM file: a03su.txt   Mon Sep 25 14:38:01 2000
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRIT,NITRIT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W
,,,,,,,,,,,,DBAR,IPTS-68,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,
      RUCT40_1,   A03,     7,  1,     10,     10,2,19930924,0710, 36.4247,  -8.7913, 2349,   1297.2,  10.4713,  36.1591,2,  36.1588,2,    189.9,2,    12.41,2,     0.02,2,    16.12,2,     1.07,2
      RUCT40_1,   A03,     7,  1,      9,      9,2,19930924,0710, 36.4247,  -8.7913, 2349,   1396.4,  11.2409,  36.4274,3,  36.4219,2,    189.8,2,    11.24,2,     0.01,2,    13.80,2,     0.93,2
      RUCT40_1,   A03,     7,  1,      8,      8,2,19930924,0710, 36.4247,  -8.7913, 2349,   1495.7,   9.4397,  36.0512,3,  36.0570,2,    200.7,2,    13.45,2,  -999.00,5,    15.28,2,     1.05,2
      RUCT40_1,   A03,     7,  1,      7,      7,2,19930924,0710, 36.4247,  -8.7913, 2349,   1595.1,   6.9412,  35.5646,2,  35.5640,2,    219.5,2,    16.77,2,  -999.00,5,    17.13,2,     1.23,2
      RUCT40_1,   A03,     7,  1,      6,      6,2,19930924,0710, 36.4247,  -8.7913, 2349,   1699.8,   6.1420,  35.4273,2,  35.4283,2,    226.4,2,    18.23,2,  -999.00,5,    17.87,2,     1.27,2
      RUCT40_1,   A03,     7,  1,      5,      5,2,19930924,0710, 36.4247,  -8.7913, 2349,   1843.9,   5.3941,  35.3125,2,  35.3116,2,    233.4,2,    20.33,2,  -999.00,5,    17.93,2,     1.30,2
      RUCT40_1,   A03,     7,  1,      4,      4,2,19930924,0710, 36.4247,  -8.7913, 2349,   1944.6,   4.8961,  35.2266,2,  35.2268,2,    238.5,2,    21.45,2,  -999.00,5,    18.65,2,     1.32,2
      RUCT40_1,   A03,     7,  1,      3,      2,2,19930924,0710, 36.4247,  -8.7913, 2349,   2041.9,   4.5132,  35.1688,2,  35.1690,2,    243.7,2,    23.29,2,  -999.00,5,    18.47,2,     1.36,2
      RUCT40_1,   A03,     7,  1,      2,      3,2,19930924,0710, 36.4247,  -8.7913, 2349,   2148.0,   4.0250,  35.0971,2,  35.0994,2,    245.5,2,    24.79,2,  -999.00,5,    18.84,2,     1.39,2
      RUCT40_1,   A03,     7,  1,      1,      1,2,19930924,0710, 36.4247,  -8.7913, 2349,   2245.3,   3.7886,  35.0648,2,  35.0666,2,    245.9,2,    26.57,2,  -999.00,5,    19.00,2,     1.42,2
      RUCT40_1,   A03,     8,  1,     23,     23,2,19930924,1022, 36.2500,  -8.9010, 2629,     36.9,  20.8966,  36.6389,2,  36.6432,2,    228.8,2,     1.23,2,     0.00,2,     0.14,2,     0.04,2
